claim_id,seccion,valor,unidad,valor_mostrado,fuente,campo_origen,transformacion,redondeo,estado
FV-0P9144_B6_FV15-LOAD,Resultados FV,83.085824,%,"83,09 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-0P9144_B6_FV30-P,Resultados FV,10.276596,MW,"10,277 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,30% de 34.255320 MW,3 decimales,APROBADO
FV-0P9144_B6_FV30-VMIN,Resultados FV,0.957079,p.u.,"0,957079 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-0P9144_B6_FV30-LOAD,Resultados FV,83.072648,%,"83,07 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-0P9144_B6_FV50-P,Resultados FV,17.127660,MW,"17,128 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,50% de 34.255320 MW,3 decimales,APROBADO
FV-0P9144_B6_FV50-VMIN,Resultados FV,0.961519,p.u.,"0,961519 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-0P9144_B6_FV50-LOAD,Resultados FV,83.057776,%,"83,06 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-1P2192_B1_FV15-P,Resultados FV,5.138298,MW,"5,138 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,15% de 34.255320 MW,3 decimales,APROBADO
FV-1P2192_B1_FV15-VMIN,Resultados FV,0.937064,p.u.,"0,937064 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-1P2192_B1_FV15-LOAD,Resultados FV,91.400468,%,"91,40 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-1P2192_B1_FV30-P,Resultados FV,10.276596,MW,"10,277 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,30% de 34.255320 MW,3 decimales,APROBADO
FV-1P2192_B1_FV30-VMIN,Resultados FV,NR,p.u.,NR,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,campo no recuperado; no se imputa,NR,NR
FV-1P2192_B1_FV30-LOAD,Resultados FV,NR,%,NR,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,campo no recuperado; no se imputa,NR,NR
FV-1P2192_B1_FV50-P,Resultados FV,17.127660,MW,"17,128 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,50% de 34.255320 MW,3 decimales,APROBADO
FV-1P2192_B1_FV50-VMIN,Resultados FV,0.937064,p.u.,"0,937064 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-1P2192_B1_FV50-LOAD,Resultados FV,91.400468,%,"91,40 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-1P2192_B5_FV15-P,Resultados FV,5.138298,MW,"5,138 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,15% de 34.255320 MW,3 decimales,APROBADO
FV-1P2192_B5_FV15-VMIN,Resultados FV,0.943384,p.u.,"0,943384 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-1P2192_B5_FV15-LOAD,Resultados FV,75.736076,%,"75,74 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-1P2192_B5_FV30-P,Resultados FV,10.276596,MW,"10,277 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,30% de 34.255320 MW,3 decimales,APROBADO
FV-1P2192_B5_FV30-VMIN,Resultados FV,0.949637,p.u.,"0,949637 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-1P2192_B5_FV30-LOAD,Resultados FV,62.706167,%,"62,71 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-1P2192_B5_FV50-P,Resultados FV,17.127660,MW,"17,128 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,50% de 34.255320 MW,3 decimales,APROBADO
FV-1P2192_B5_FV50-VMIN,Resultados FV,0.950506,p.u.,"0,950506 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-1P2192_B5_FV50-LOAD,Resultados FV,62.982190,%,"62,98 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-1P2192_B6_FV15-P,Resultados FV,5.138298,MW,"5,138 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,15% de 34.255320 MW,3 decimales,APROBADO
FV-1P2192_B6_FV15-VMIN,Resultados FV,0.949825,p.u.,"0,949825 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-1P2192_B6_FV15-LOAD,Resultados FV,83.086632,%,"83,09 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-1P2192_B6_FV30-P,Resultados FV,10.276596,MW,"10,277 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,30% de 34.255320 MW,3 decimales,APROBADO
FV-1P2192_B6_FV30-VMIN,Resultados FV,0.956783,p.u.,"0,956783 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-1P2192_B6_FV30-LOAD,Resultados FV,83.073372,%,"83,07 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-1P2192_B6_FV50-P,Resultados FV,17.127660,MW,"17,128 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,50% de 34.255320 MW,3 decimales,APROBADO
FV-1P2192_B6_FV50-VMIN,Resultados FV,0.961322,p.u.,"0,961322 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-1P2192_B6_FV50-LOAD,Resultados FV,83.058448,%,"83,06 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
BASE-0P9144-VMIN,Estado base,0.95511,p.u.,"0,95511 p.u.",TFM/Entrega_final/reproducibilidad/v2/casos_v2_validacion.json,solution.v_pu_by_bus,mínimo de seis barras,5 decimales,APROBADO
BASE-0P9144-MIS,Estado base,0.010,MVA,"0,010 MVA",TFM/Entrega_final/reproducibilidad/v2/casos_v2_validacion.json,solution.mismatch_mva,transcripción auditada de interfaz,3 decimales,APROBADO
BASE-1P2192-VMIN,Estado base,0.95489,p.u.,"0,95489 p.u.",TFM/Entrega_final/reproducibilidad/v2/casos_v2_validacion.json,solution.v_pu_by_bus,mínimo de seis barras,5 decimales,APROBADO
BASE-1P2192-MIS,Estado base,0.000,MVA,"0,000 MVA",TFM/Entrega_final/reproducibilidad/v2/casos_v2_validacion.json,solution.mismatch_mva,transcripción auditada de interfaz,3 decimales,APROBADO
BESS-01-P,Resultados BESS,10,MW,"10,00 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,bess_mw,entrada simulada,2 decimales,APROBADO
BESS-01-VMIN,Resultados BESS,0.949679,p.u.,"0,949679 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,v_min_ctg_pu,mínimo entre barras energizadas y diez contingencias,6 decimales,APROBADO
BESS-01-MARGEN,Discusión BESS,-0.000321,p.u.,"-0,000321 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,margin_to_0p95_pu,v_min_ctg_pu - 0.95,6 decimales,APROBADO
BESS-01-LOAD,Resultados BESS,62.695502,%,"62,70 %",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,max_loading_ctg_pct,máximo entre ramas y diez contingencias,2 decimales,APROBADO
BESS-02-P,Resultados BESS,5.25,MW,"5,25 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,bess_mw,entrada simulada,2 decimales,APROBADO
BESS-02-VMIN,Resultados BESS,0.950418,p.u.,"0,950418 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,v_min_ctg_pu,mínimo entre barras energizadas y diez contingencias,6 decimales,APROBADO
BESS-02-MARGEN,Discusión BESS,0.000418,p.u.,"0,000418 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,margin_to_0p95_pu,v_min_ctg_pu - 0.95,6 decimales,APROBADO
BESS-02-LOAD,Resultados BESS,83.085516,%,"83,09 %",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,max_loading_ctg_pct,máximo entre ramas y diez contingencias,2 decimales,APROBADO
BESS-03-P,Resultados BESS,10,MW,"10,00 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,bess_mw,entrada simulada,2 decimales,APROBADO
BESS-03-VMIN,Resultados BESS,0.949337,p.u.,"0,949337 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,v_min_ctg_pu,mínimo entre barras energizadas y diez contingencias,6 decimales,APROBADO
BESS-03-MARGEN,Discusión BESS,-0.000663,p.u.,"-0,000663 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,margin_to_0p95_pu,v_min_ctg_pu - 0.95,6 decimales,APROBADO
BESS-03-LOAD,Resultados BESS,62.71193,%,"62,71 %",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,max_loading_ctg_pct,máximo entre ramas y diez contingencias,2 decimales,APROBADO
BESS-04-P,Resultados BESS,5.25,MW,"5,25 MW",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,bess_mw,entrada simulada,2 decimales,APROBADO
BESS-04-VMIN,Resultados BESS,0.950074,p.u.,"0,950074 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,v_min_ctg_pu,mínimo entre barras energizadas y diez contingencias,6 decimales,APROBADO
BESS-04-MARGEN,Discusión BESS,0.000074,p.u.,"0,000074 p.u.",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,margin_to_0p95_pu,v_min_ctg_pu - 0.95,6 decimales,APROBADO
BESS-04-LOAD,Resultados BESS,83.08632,%,"83,09 %",TFM/Entrega_final/reproducibilidad/v2/bess_final/matriz_resultados_bess_v23.csv,max_loading_ctg_pct,máximo entre ramas y diez contingencias,2 decimales,APROBADO
ENERGIA-01,Sensibilidad energética,6.720430108,MWh,"6,720430 MWh",TFM/Entrega_final/reproducibilidad/v2/bess_final/energia_bess.csv,e_nom_mwh,P*t/(0.93*0.80),6 decimales,APROBADO
ENERGIA-02,Sensibilidad energética,13.440860215,MWh,"13,440860 MWh",TFM/Entrega_final/reproducibilidad/v2/bess_final/energia_bess.csv,e_nom_mwh,P*t/(0.93*0.80),6 decimales,APROBADO
ENERGIA-03,Sensibilidad energética,26.88172043,MWh,"26,881720 MWh",TFM/Entrega_final/reproducibilidad/v2/bess_final/energia_bess.csv,e_nom_mwh,P*t/(0.93*0.80),6 decimales,APROBADO
ENERGIA-04,Sensibilidad energética,53.76344086,MWh,"53,763441 MWh",TFM/Entrega_final/reproducibilidad/v2/bess_final/energia_bess.csv,e_nom_mwh,P*t/(0.93*0.80),6 decimales,APROBADO
ENERGIA-05,Sensibilidad energética,3.528225806,MWh,"3,528226 MWh",TFM/Entrega_final/reproducibilidad/v2/bess_final/energia_bess.csv,e_nom_mwh,P*t/(0.93*0.80),6 decimales,APROBADO
ENERGIA-06,Sensibilidad energética,7.056451613,MWh,"7,056452 MWh",TFM/Entrega_final/reproducibilidad/v2/bess_final/energia_bess.csv,e_nom_mwh,P*t/(0.93*0.80),6 decimales,APROBADO
ENERGIA-07,Sensibilidad energética,14.112903226,MWh,"14,112903 MWh",TFM/Entrega_final/reproducibilidad/v2/bess_final/energia_bess.csv,e_nom_mwh,P*t/(0.93*0.80),6 decimales,APROBADO
ENERGIA-08,Sensibilidad energética,28.225806452,MWh,"28,225806 MWh",TFM/Entrega_final/reproducibilidad/v2/bess_final/energia_bess.csv,e_nom_mwh,P*t/(0.93*0.80),6 decimales,APROBADO
BASE-0P9144-DGMW,Estado base,34.24,MW,"34,24 MW",TFM/Entrega_final/reproducibilidad/v2/casos_v2_validacion.json,solution.dg_mw,transcripción auditada,2 decimales,APROBADO
BASE-0P9144-DGMVAR,Estado base,7.32,MVAr,"7,32 MVAr",TFM/Entrega_final/reproducibilidad/v2/casos_v2_validacion.json,solution.dg_mvar,transcripción auditada,2 decimales,APROBADO
BASE-0P9144-VMAX,Estado base,1.00000,p.u.,"1,00000 p.u.",TFM/Entrega_final/reproducibilidad/v2/casos_v2_validacion.json,solution.v_pu_by_bus,máximo de barras energizadas,5 decimales,APROBADO
BASE-1P2192-DGMW,Estado base,34.26,MW,"34,26 MW",TFM/Entrega_final/reproducibilidad/v2/casos_v2_validacion.json,solution.dg_mw,transcripción auditada,2 decimales,APROBADO
BASE-1P2192-DGMVAR,Estado base,7.36,MVAr,"7,36 MVAr",TFM/Entrega_final/reproducibilidad/v2/casos_v2_validacion.json,solution.dg_mvar,transcripción auditada,2 decimales,APROBADO
BASE-1P2192-VMAX,Estado base,1.00000,p.u.,"1,00000 p.u.",TFM/Entrega_final/reproducibilidad/v2/casos_v2_validacion.json,solution.v_pu_by_bus,máximo de barras energizadas,5 decimales,APROBADO
FV-0P9144_B1_FV15-LOSS,Resultados FV,0.931,MW,"0,931 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-0P9144_B1_FV15-VBASE,Resultados FV,0.955070,p.u.,"0,955070 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-0P9144_B1_FV15-NLOW,Resultados FV,13,filas,13,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-0P9144_B1_FV30-LOSS,Resultados FV,0.931,MW,"0,931 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-0P9144_B1_FV30-VBASE,Resultados FV,0.955070,p.u.,"0,955070 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-0P9144_B1_FV30-NLOW,Resultados FV,13,filas,13,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-0P9144_B1_FV50-LOSS,Resultados FV,0.931,MW,"0,931 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-0P9144_B1_FV50-VBASE,Resultados FV,0.955070,p.u.,"0,955070 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-0P9144_B1_FV50-NLOW,Resultados FV,13,filas,13,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-0P9144_B5_FV15-LOSS,Resultados FV,0.677,MW,"0,677 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-0P9144_B5_FV15-VBASE,Resultados FV,0.959350,p.u.,"0,959350 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-0P9144_B5_FV15-NLOW,Resultados FV,4,filas,4,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-0P9144_B5_FV30-LOSS,Resultados FV,0.478,MW,"0,478 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-0P9144_B5_FV30-VBASE,Resultados FV,NR,p.u.,NR p.u.,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-0P9144_B5_FV30-NLOW,Resultados FV,1,filas,1,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-0P9144_B5_FV50-LOSS,Resultados FV,0.290,MW,"0,290 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-0P9144_B5_FV50-VBASE,Resultados FV,0.967650,p.u.,"0,967650 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-0P9144_B5_FV50-NLOW,Resultados FV,0,filas,0,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-0P9144_B6_FV15-LOSS,Resultados FV,0.658,MW,"0,658 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-0P9144_B6_FV15-VBASE,Resultados FV,0.963550,p.u.,"0,963550 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-0P9144_B6_FV15-NLOW,Resultados FV,0,filas,0,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-0P9144_B6_FV30-LOSS,Resultados FV,0.458,MW,"0,458 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-0P9144_B6_FV30-VBASE,Resultados FV,0.967700,p.u.,"0,967700 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-0P9144_B6_FV30-NLOW,Resultados FV,0,filas,0,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-0P9144_B6_FV50-LOSS,Resultados FV,0.305,MW,"0,305 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-0P9144_B6_FV50-VBASE,Resultados FV,0.971980,p.u.,"0,971980 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-0P9144_B6_FV50-NLOW,Resultados FV,0,filas,0,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-1P2192_B1_FV15-LOSS,Resultados FV,0.931,MW,"0,931 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-1P2192_B1_FV15-VBASE,Resultados FV,0.954820,p.u.,"0,954820 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
FV-1P2192_B1_FV15-NLOW,Resultados FV,13,filas,13,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_rows_below_095,conteo de filas N-1,entero,APROBADO
FV-1P2192_B1_FV30-LOSS,Resultados FV,0.931,MW,"0,931 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.p_loss_mw_rounded_sum,suma de pérdidas de ramas,3 decimales,APROBADO
FV-1P2192_B1_FV30-VBASE,Resultados FV,0.954820,p.u.,"0,954820 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.v_min_base_pu,mínimo de barras energizadas,6 decimales,APROBADO
