run_id,modelo,gmd_m,escenario,contingencia,bess_bus,bess_mw,variante_parametro,archivo_aux,estado
R000016,GMD_0p9144m,0.9144,B1_FV15,FallaElevador2_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000017,GMD_0p9144m,0.9144,B1_FV15,FallaElevador3_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000018,GMD_0p9144m,0.9144,B1_FV15,FallaTrafo1_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000019,GMD_0p9144m,0.9144,B1_FV15,FallaTrafo2_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000020,GMD_0p9144m,0.9144,B1_FV15,FallaTrafo1_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000021,GMD_0p9144m,0.9144,B1_FV30,FallaLinea1_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000022,GMD_0p9144m,0.9144,B1_FV30,FallaLinea2_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000023,GMD_0p9144m,0.9144,B1_FV30,FallaLinea1_PuntaEvans_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000024,GMD_0p9144m,0.9144,B1_FV30,FallaLinea1_ElBight_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000025,GMD_0p9144m,0.9144,B1_FV30,FallaElevador1_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000026,GMD_0p9144m,0.9144,B1_FV30,FallaElevador2_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000027,GMD_0p9144m,0.9144,B1_FV30,FallaElevador3_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000028,GMD_0p9144m,0.9144,B1_FV30,FallaTrafo1_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000029,GMD_0p9144m,0.9144,B1_FV30,FallaTrafo2_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000030,GMD_0p9144m,0.9144,B1_FV30,FallaTrafo1_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000031,GMD_0p9144m,0.9144,B1_FV50,FallaLinea1_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000032,GMD_0p9144m,0.9144,B1_FV50,FallaLinea2_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000033,GMD_0p9144m,0.9144,B1_FV50,FallaLinea1_PuntaEvans_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000034,GMD_0p9144m,0.9144,B1_FV50,FallaLinea1_ElBight_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000035,GMD_0p9144m,0.9144,B1_FV50,FallaElevador1_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000036,GMD_0p9144m,0.9144,B1_FV50,FallaElevador2_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000037,GMD_0p9144m,0.9144,B1_FV50,FallaElevador3_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000038,GMD_0p9144m,0.9144,B1_FV50,FallaTrafo1_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000039,GMD_0p9144m,0.9144,B1_FV50,FallaTrafo2_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000040,GMD_0p9144m,0.9144,B1_FV50,FallaTrafo1_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000041,GMD_0p9144m,0.9144,B5_FV15,FallaLinea1_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000042,GMD_0p9144m,0.9144,B5_FV15,FallaLinea2_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000043,GMD_0p9144m,0.9144,B5_FV15,FallaLinea1_PuntaEvans_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000044,GMD_0p9144m,0.9144,B5_FV15,FallaLinea1_ElBight_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000045,GMD_0p9144m,0.9144,B5_FV15,FallaElevador1_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000046,GMD_0p9144m,0.9144,B5_FV15,FallaElevador2_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000047,GMD_0p9144m,0.9144,B5_FV15,FallaElevador3_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000048,GMD_0p9144m,0.9144,B5_FV15,FallaTrafo1_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000049,GMD_0p9144m,0.9144,B5_FV15,FallaTrafo2_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000050,GMD_0p9144m,0.9144,B5_FV15,FallaTrafo1_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000051,GMD_0p9144m,0.9144,B5_FV30,FallaLinea1_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000052,GMD_0p9144m,0.9144,B5_FV30,FallaLinea2_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000053,GMD_0p9144m,0.9144,B5_FV30,FallaLinea1_PuntaEvans_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000054,GMD_0p9144m,0.9144,B5_FV30,FallaLinea1_ElBight_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000055,GMD_0p9144m,0.9144,B5_FV30,FallaElevador1_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000056,GMD_0p9144m,0.9144,B5_FV30,FallaElevador2_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000057,GMD_0p9144m,0.9144,B5_FV30,FallaElevador3_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000058,GMD_0p9144m,0.9144,B5_FV30,FallaTrafo1_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000059,GMD_0p9144m,0.9144,B5_FV30,FallaTrafo2_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000060,GMD_0p9144m,0.9144,B5_FV30,FallaTrafo1_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000061,GMD_0p9144m,0.9144,B5_FV50,FallaLinea1_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000062,GMD_0p9144m,0.9144,B5_FV50,FallaLinea2_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000063,GMD_0p9144m,0.9144,B5_FV50,FallaLinea1_PuntaEvans_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000064,GMD_0p9144m,0.9144,B5_FV50,FallaLinea1_ElBight_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000065,GMD_0p9144m,0.9144,B5_FV50,FallaElevador1_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000066,GMD_0p9144m,0.9144,B5_FV50,FallaElevador2_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000067,GMD_0p9144m,0.9144,B5_FV50,FallaElevador3_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000068,GMD_0p9144m,0.9144,B5_FV50,FallaTrafo1_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000069,GMD_0p9144m,0.9144,B5_FV50,FallaTrafo2_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000070,GMD_0p9144m,0.9144,B5_FV50,FallaTrafo1_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000071,GMD_0p9144m,0.9144,B6_FV15,FallaLinea1_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000072,GMD_0p9144m,0.9144,B6_FV15,FallaLinea2_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000073,GMD_0p9144m,0.9144,B6_FV15,FallaLinea1_PuntaEvans_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000074,GMD_0p9144m,0.9144,B6_FV15,FallaLinea1_ElBight_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000075,GMD_0p9144m,0.9144,B6_FV15,FallaElevador1_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000076,GMD_0p9144m,0.9144,B6_FV15,FallaElevador2_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000077,GMD_0p9144m,0.9144,B6_FV15,FallaElevador3_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000078,GMD_0p9144m,0.9144,B6_FV15,FallaTrafo1_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000079,GMD_0p9144m,0.9144,B6_FV15,FallaTrafo2_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000080,GMD_0p9144m,0.9144,B6_FV15,FallaTrafo1_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000081,GMD_0p9144m,0.9144,B6_FV30,FallaLinea1_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000082,GMD_0p9144m,0.9144,B6_FV30,FallaLinea2_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000083,GMD_0p9144m,0.9144,B6_FV30,FallaLinea1_PuntaEvans_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000084,GMD_0p9144m,0.9144,B6_FV30,FallaLinea1_ElBight_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000085,GMD_0p9144m,0.9144,B6_FV30,FallaElevador1_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000086,GMD_0p9144m,0.9144,B6_FV30,FallaElevador2_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000087,GMD_0p9144m,0.9144,B6_FV30,FallaElevador3_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000088,GMD_0p9144m,0.9144,B6_FV30,FallaTrafo1_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000089,GMD_0p9144m,0.9144,B6_FV30,FallaTrafo2_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000090,GMD_0p9144m,0.9144,B6_FV30,FallaTrafo1_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000091,GMD_0p9144m,0.9144,B6_FV50,FallaLinea1_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000092,GMD_0p9144m,0.9144,B6_FV50,FallaLinea2_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000093,GMD_0p9144m,0.9144,B6_FV50,FallaLinea1_PuntaEvans_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000094,GMD_0p9144m,0.9144,B6_FV50,FallaLinea1_ElBight_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000095,GMD_0p9144m,0.9144,B6_FV50,FallaElevador1_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000096,GMD_0p9144m,0.9144,B6_FV50,FallaElevador2_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000097,GMD_0p9144m,0.9144,B6_FV50,FallaElevador3_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000098,GMD_0p9144m,0.9144,B6_FV50,FallaTrafo1_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000099,GMD_0p9144m,0.9144,B6_FV50,FallaTrafo2_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000100,GMD_0p9144m,0.9144,B6_FV50,FallaTrafo1_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000101,GMD_0p9144m,0.9144,BASE,FallaLinea1_PuntaEvans_ElBight,B5,1,base,aux/bloque_001.aux,planned
R000102,GMD_0p9144m,0.9144,BASE,FallaLinea2_PuntaEvans_ElBight,B5,1,base,aux/bloque_001.aux,planned
R000103,GMD_0p9144m,0.9144,BASE,FallaLinea1_PuntaEvans_SchoolHouse,B5,1,base,aux/bloque_001.aux,planned
R000104,GMD_0p9144m,0.9144,BASE,FallaLinea1_ElBight_SchoolHouse,B5,1,base,aux/bloque_001.aux,planned
R000105,GMD_0p9144m,0.9144,BASE,FallaElevador1_PuntaEvans,B5,1,base,aux/bloque_001.aux,planned
R000106,GMD_0p9144m,0.9144,BASE,FallaElevador2_PuntaEvans,B5,1,base,aux/bloque_001.aux,planned
R000107,GMD_0p9144m,0.9144,BASE,FallaElevador3_PuntaEvans,B5,1,base,aux/bloque_001.aux,planned
R000108,GMD_0p9144m,0.9144,BASE,FallaTrafo1_ElBight,B5,1,base,aux/bloque_001.aux,planned
R000109,GMD_0p9144m,0.9144,BASE,FallaTrafo2_ElBight,B5,1,base,aux/bloque_001.aux,planned
R000110,GMD_0p9144m,0.9144,BASE,FallaTrafo1_SchoolHouse,B5,1,base,aux/bloque_001.aux,planned
R000111,GMD_0p9144m,0.9144,B1_FV15,FallaLinea1_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000112,GMD_0p9144m,0.9144,B1_FV15,FallaLinea2_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000113,GMD_0p9144m,0.9144,B1_FV15,FallaLinea1_PuntaEvans_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000114,GMD_0p9144m,0.9144,B1_FV15,FallaLinea1_ElBight_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000115,GMD_0p9144m,0.9144,B1_FV15,FallaElevador1_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000116,GMD_0p9144m,0.9144,B1_FV15,FallaElevador2_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000117,GMD_0p9144m,0.9144,B1_FV15,FallaElevador3_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000118,GMD_0p9144m,0.9144,B1_FV15,FallaTrafo1_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000119,GMD_0p9144m,0.9144,B1_FV15,FallaTrafo2_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000120,GMD_0p9144m,0.9144,B1_FV15,FallaTrafo1_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000121,GMD_0p9144m,0.9144,B1_FV30,FallaLinea1_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000122,GMD_0p9144m,0.9144,B1_FV30,FallaLinea2_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000123,GMD_0p9144m,0.9144,B1_FV30,FallaLinea1_PuntaEvans_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000124,GMD_0p9144m,0.9144,B1_FV30,FallaLinea1_ElBight_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000125,GMD_0p9144m,0.9144,B1_FV30,FallaElevador1_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000126,GMD_0p9144m,0.9144,B1_FV30,FallaElevador2_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000127,GMD_0p9144m,0.9144,B1_FV30,FallaElevador3_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000128,GMD_0p9144m,0.9144,B1_FV30,FallaTrafo1_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000129,GMD_0p9144m,0.9144,B1_FV30,FallaTrafo2_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000130,GMD_0p9144m,0.9144,B1_FV30,FallaTrafo1_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000131,GMD_0p9144m,0.9144,B1_FV50,FallaLinea1_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000132,GMD_0p9144m,0.9144,B1_FV50,FallaLinea2_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000133,GMD_0p9144m,0.9144,B1_FV50,FallaLinea1_PuntaEvans_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000134,GMD_0p9144m,0.9144,B1_FV50,FallaLinea1_ElBight_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000135,GMD_0p9144m,0.9144,B1_FV50,FallaElevador1_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000136,GMD_0p9144m,0.9144,B1_FV50,FallaElevador2_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000137,GMD_0p9144m,0.9144,B1_FV50,FallaElevador3_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000138,GMD_0p9144m,0.9144,B1_FV50,FallaTrafo1_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000139,GMD_0p9144m,0.9144,B1_FV50,FallaTrafo2_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000140,GMD_0p9144m,0.9144,B1_FV50,FallaTrafo1_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000141,GMD_0p9144m,0.9144,B5_FV15,FallaLinea1_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000142,GMD_0p9144m,0.9144,B5_FV15,FallaLinea2_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000143,GMD_0p9144m,0.9144,B5_FV15,FallaLinea1_PuntaEvans_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000144,GMD_0p9144m,0.9144,B5_FV15,FallaLinea1_ElBight_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000145,GMD_0p9144m,0.9144,B5_FV15,FallaElevador1_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000146,GMD_0p9144m,0.9144,B5_FV15,FallaElevador2_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000147,GMD_0p9144m,0.9144,B5_FV15,FallaElevador3_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000148,GMD_0p9144m,0.9144,B5_FV15,FallaTrafo1_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000149,GMD_0p9144m,0.9144,B5_FV15,FallaTrafo2_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000150,GMD_0p9144m,0.9144,B5_FV15,FallaTrafo1_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000151,GMD_0p9144m,0.9144,B5_FV30,FallaLinea1_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000152,GMD_0p9144m,0.9144,B5_FV30,FallaLinea2_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000153,GMD_0p9144m,0.9144,B5_FV30,FallaLinea1_PuntaEvans_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000154,GMD_0p9144m,0.9144,B5_FV30,FallaLinea1_ElBight_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000155,GMD_0p9144m,0.9144,B5_FV30,FallaElevador1_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000156,GMD_0p9144m,0.9144,B5_FV30,FallaElevador2_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000157,GMD_0p9144m,0.9144,B5_FV30,FallaElevador3_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000158,GMD_0p9144m,0.9144,B5_FV30,FallaTrafo1_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000159,GMD_0p9144m,0.9144,B5_FV30,FallaTrafo2_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000160,GMD_0p9144m,0.9144,B5_FV30,FallaTrafo1_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000161,GMD_0p9144m,0.9144,B5_FV50,FallaLinea1_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000162,GMD_0p9144m,0.9144,B5_FV50,FallaLinea2_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000163,GMD_0p9144m,0.9144,B5_FV50,FallaLinea1_PuntaEvans_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000164,GMD_0p9144m,0.9144,B5_FV50,FallaLinea1_ElBight_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000165,GMD_0p9144m,0.9144,B5_FV50,FallaElevador1_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000166,GMD_0p9144m,0.9144,B5_FV50,FallaElevador2_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000167,GMD_0p9144m,0.9144,B5_FV50,FallaElevador3_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000168,GMD_0p9144m,0.9144,B5_FV50,FallaTrafo1_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000169,GMD_0p9144m,0.9144,B5_FV50,FallaTrafo2_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000170,GMD_0p9144m,0.9144,B5_FV50,FallaTrafo1_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000171,GMD_0p9144m,0.9144,B6_FV15,FallaLinea1_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000172,GMD_0p9144m,0.9144,B6_FV15,FallaLinea2_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000173,GMD_0p9144m,0.9144,B6_FV15,FallaLinea1_PuntaEvans_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000174,GMD_0p9144m,0.9144,B6_FV15,FallaLinea1_ElBight_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000175,GMD_0p9144m,0.9144,B6_FV15,FallaElevador1_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000176,GMD_0p9144m,0.9144,B6_FV15,FallaElevador2_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000177,GMD_0p9144m,0.9144,B6_FV15,FallaElevador3_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000178,GMD_0p9144m,0.9144,B6_FV15,FallaTrafo1_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000179,GMD_0p9144m,0.9144,B6_FV15,FallaTrafo2_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000180,GMD_0p9144m,0.9144,B6_FV15,FallaTrafo1_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000181,GMD_0p9144m,0.9144,B6_FV30,FallaLinea1_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000182,GMD_0p9144m,0.9144,B6_FV30,FallaLinea2_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000183,GMD_0p9144m,0.9144,B6_FV30,FallaLinea1_PuntaEvans_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000184,GMD_0p9144m,0.9144,B6_FV30,FallaLinea1_ElBight_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000185,GMD_0p9144m,0.9144,B6_FV30,FallaElevador1_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000186,GMD_0p9144m,0.9144,B6_FV30,FallaElevador2_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000187,GMD_0p9144m,0.9144,B6_FV30,FallaElevador3_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000188,GMD_0p9144m,0.9144,B6_FV30,FallaTrafo1_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000189,GMD_0p9144m,0.9144,B6_FV30,FallaTrafo2_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000190,GMD_0p9144m,0.9144,B6_FV30,FallaTrafo1_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000191,GMD_0p9144m,0.9144,B6_FV50,FallaLinea1_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000192,GMD_0p9144m,0.9144,B6_FV50,FallaLinea2_PuntaEvans_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000193,GMD_0p9144m,0.9144,B6_FV50,FallaLinea1_PuntaEvans_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000194,GMD_0p9144m,0.9144,B6_FV50,FallaLinea1_ElBight_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000195,GMD_0p9144m,0.9144,B6_FV50,FallaElevador1_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000196,GMD_0p9144m,0.9144,B6_FV50,FallaElevador2_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000197,GMD_0p9144m,0.9144,B6_FV50,FallaElevador3_PuntaEvans,B5,1,base,aux/bloque_002.aux,planned
R000198,GMD_0p9144m,0.9144,B6_FV50,FallaTrafo1_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000199,GMD_0p9144m,0.9144,B6_FV50,FallaTrafo2_ElBight,B5,1,base,aux/bloque_002.aux,planned
R000200,GMD_0p9144m,0.9144,B6_FV50,FallaTrafo1_SchoolHouse,B5,1,base,aux/bloque_002.aux,planned
R000201,GMD_0p9144m,0.9144,BASE,FallaLinea1_PuntaEvans_ElBight,B5,2,base,aux/bloque_002.aux,planned
R000202,GMD_0p9144m,0.9144,BASE,FallaLinea2_PuntaEvans_ElBight,B5,2,base,aux/bloque_002.aux,planned
R000203,GMD_0p9144m,0.9144,BASE,FallaLinea1_PuntaEvans_SchoolHouse,B5,2,base,aux/bloque_002.aux,planned
R000204,GMD_0p9144m,0.9144,BASE,FallaLinea1_ElBight_SchoolHouse,B5,2,base,aux/bloque_002.aux,planned
R000205,GMD_0p9144m,0.9144,BASE,FallaElevador1_PuntaEvans,B5,2,base,aux/bloque_002.aux,planned
R000206,GMD_0p9144m,0.9144,BASE,FallaElevador2_PuntaEvans,B5,2,base,aux/bloque_002.aux,planned
R000207,GMD_0p9144m,0.9144,BASE,FallaElevador3_PuntaEvans,B5,2,base,aux/bloque_002.aux,planned
R000208,GMD_0p9144m,0.9144,BASE,FallaTrafo1_ElBight,B5,2,base,aux/bloque_002.aux,planned
R000209,GMD_0p9144m,0.9144,BASE,FallaTrafo2_ElBight,B5,2,base,aux/bloque_002.aux,planned
R000210,GMD_0p9144m,0.9144,BASE,FallaTrafo1_SchoolHouse,B5,2,base,aux/bloque_002.aux,planned
R000211,GMD_0p9144m,0.9144,B1_FV15,FallaLinea1_PuntaEvans_ElBight,B5,2,base,aux/bloque_002.aux,planned
